Experiment,Sample date (year),Time (years),ambient CO2,increased CO2
ArizonaFACE - wheat - high N,1995,0,1343.84,1228.4
ArizonaFACE - wheat - high N,1996,0.5,1363.08,1305.36
ArizonaFACE - wheat - high N,1996,1,1253.56,1263.92
ArizonaFACE - wheat - high N,1997,1.5,1258,1400.08
Biosphere 2,1999,0,5950,6362.43421052631
Biosphere 3,2000,1,5253.57142857143,4735.13157894737
Biosphere 4,2001,2,6084.09090909091,4784.76608187134
Biosphere 5,2002,3,5470,4063.78947368421
Biosphere 6,2003,4,5335,4220.35087719298
China FACE - low N,2008,3.66,1936.62,2192.4
China FACE - low N,2008,4,1936.62,2122.8
China FACE - high N,2008,3.66,1926.18,2134.98
China FACE - high N,2008,4,1936.62,2105.4
China OTC - low N,2005,0.33,1103.17123287671,1168.46153846154
China OTC - low N,2005,0.666,1035.6301369863,1096.92307692308
China OTC - low N,2006,1,1936.17808219178,2384.61538461538
China OTC - low N,2006,1.33,2318.91095890411,2217.69230769231
China OTC - low N,2006,1.66,2060.00342465753,2050.76923076923
China OTC - low N,2007,2,2431.47945205479,2301.15384615385
China OTC - low N,2007,2.33,2262.62671232877,2360.76923076923
China OTC - low N,2007,2.66,2116.28767123288,2158.07692307692
China OTC - low N,2008,3,3624.70547945206,3314.61538461538
China OTC - low N,2008,3.33,3253.22945205479,3278.84615384615
China OTC - low N,2008,3.66,3287,3410
China OTC - high N,2005,0.33,1200.70588235294,1198.06779661017
China OTC - high N,2005,0.666,921.970588235294,1409.49152542373
China OTC - high N,2006,1,1929.70588235294,2372.64406779661
China OTC - high N,2006,1.33,1951.14705882353,2513.59322033898
China OTC - high N,2006,1.66,1586.64705882353,3053.89830508475
China OTC - high N,2007,2,2015.47058823529,3030.40677966102
China OTC - high N,2007,2.33,2272.76470588235,2725.01694915254
China OTC - high N,2007,2.66,2187,2701.52542372881
China OTC - high N,2008,3,3602.11764705882,3946.57627118644
China OTC - high N,2008,3.33,3580.67647058824,4169.74576271186
China OTC - high N,2008,3.66,3645,4158
FACTS I,1996,0,1977,2142
FACTS I,1999,3.17,1902,2208
FACTS I,2002,6,2407,2734
FACTS I,2006,9,2164,2096
FACTS II - Aspen,2001,4,3575.07,3562.4
FACTS II - Aspen,2003,6,3625.22,4434.77
FACTS II - Aspen,2004,7,3235.48,3242.64
FACTS II - Aspen,2005,8,3741.46,3506.22
FACTS II - Aspen,2006,9,4243.47,3840.68
FACTS II - Aspen,2007,10,4373.51,3760.06
FACTS II - Aspen,2008,11,5118.87,3267.47
FACTS II - Aspen (+O3),2001,4,3192.54,3199.43
FACTS II - Aspen (+O3),2003,6,3080.8,3433.24
FACTS II - Aspen (+O3),2004,7,3418.36,2804.18
FACTS II - Aspen (+O3),2005,8,3886.14,2889.98
FACTS II - Aspen (+O3),2006,9,4072.97,3444.45
FACTS II - Aspen (+O3),2007,10,4382.11,3268.49
FACTS II - Aspen (+O3),2008,11,4782.79,3140.94
FACTS II - Aspen/Birch,2001,4,3256.05,3816.81
FACTS II - Aspen/Birch,2003,6,3347.32,3274.32
FACTS II - Aspen/Birch,2004,7,3407.67,3457.47
FACTS II - Aspen/Birch,2005,8,3652.93,3436.28
FACTS II - Aspen/Birch,2006,9,4433,4196.18
FACTS II - Aspen/Birch,2007,10,4124.99,3831.59
FACTS II - Aspen/Birch,2008,11,3483.65,3946.42
FACTS II - Aspen/Birch (+O3),2001,4,3305.46,3120.98
FACTS II - Aspen/Birch (+O3),2003,6,4104.62,3798.11
FACTS II - Aspen/Birch (+O3),2004,7,2942.85,3255.45
FACTS II - Aspen/Birch (+O3),2005,8,3577.59,3350.95
FACTS II - Aspen/Birch (+O3),2006,9,4083.14,4063.81
FACTS II - Aspen/Birch (+O3),2007,10,3909.27,4289.8
FACTS II - Aspen/Birch (+O3),2008,11,4113.33,3849.28
FACTS II - Aspen/Mapel,2001,4,2908.2,3541.12
FACTS II - Aspen/Mapel,2003,6,3327.21,3185.62
FACTS II - Aspen/Mapel,2004,7,3134.93,3269.54
FACTS II - Aspen/Mapel,2005,8,4205.96,3959.59
FACTS II - Aspen/Mapel,2006,9,4022.99,3849.77
FACTS II - Aspen/Mapel,2007,10,4013.86,4450.25
FACTS II - Aspen/Mapel,2008,11,3947.76,4674.97
FACTS II - Aspen/Mapel (+O3),2001,4,3449.08,3333.9
FACTS II - Aspen/Mapel (+O3),2003,6,3512.41,2960.93
FACTS II - Aspen/Mapel (+O3),2004,7,3320.87,3240.07
FACTS II - Aspen/Mapel (+O3),2005,8,3564.09,3375.91
FACTS II - Aspen/Mapel (+O3),2006,9,4115,3739.11
FACTS II - Aspen/Mapel (+O3),2007,10,3982.34,3737.1
FACTS II - Aspen/Mapel (+O3),2008,11,4093.18,3722.54
GiFACE,1998,0,3420,3528
GiFACE,2007,9.08333333333333,3150,3096
Hohenheim,2004,2,1725,1767
Hohenheim,2004,2.5,1707,1641
Hohenheim,2005,3,1805,1744
Hohenheim,2005,3.5,1567,1588
Hohenheim,2006,4,1680,1717
Hohenheim,2006,4.5,1721,1763
Jasper Ridge - sandstone,1992,0,2646,2646
Jasper Ridge - sandstone,1993,1.41,2645.66929133858,2354.33070866142
Jasper Ridge - sandstone,1994,2.41,2251.96850393701,2338.58267716535
Jasper Ridge - sandstone,1995,3.41,2314.96062992126,2314.96062992126
Jasper Ridge - sandstone,1996,4.41,2497,2486
Jasper Ridge - sandstone,1997,5.41,2612,2750
JRGCE - Control,2000,2,2383.74352914577,2344.24487919273
JRGCE - Control,2006,8,2427.8607817376,2173.41249020178
JRGCE - Burn,2000,2,2295.96311693709,2496.82108467828
JRGCE - Burn,2006,8,2544.48291535818,2268.83059952771
JRGCE - N,2000,2,2247.69288532535,2380.91938643096
JRGCE - N,2006,8,2551.5509234564,2328.90866836256
JRGCE - N x Burn,2000,2,2359.15936795258,2424.66101797247
JRGCE - N x Burn,2006,8,2528.57989713719,2226.42255093841
JRGCE - Water,2000,2,2292.47938283001,2268.04943113261
JRGCE - Water,2006,8,2311.23864811702,2085.06238897407
JRGCE - Water x Burn,2000,2,2393.88201854779,2563.04579165088
JRGCE - Water x Burn,2006,8,2396.05474529562,2300.63663596969
JRGCE - Water x N,2000,2,2192.72580269627,2263.72679461109
JRGCE - Water x N,2006,8,2625.76500848768,2441.99679793403
JRGCE - Water x N x Burn,2000,2,2251.40971995568,2568.69339236606
JRGCE - Water x N x Burn,2006,8,2231.72355701207,2385.4527331483
JRGCE - Heat,2000,2,2298.12383734422,2294.90743044408
JRGCE - Heat,2006,8,2385.4527331483,2438.46279388493
JRGCE - Heat x N,2000,2,2287.7793129353,2454.29471731008
JRGCE - Heat x N,2006,8,2282.96661572415,2449.06480603225
JRGCE - Heat x Water,2000,2,2326.79559997743,2309.91366584067
JRGCE - Heat x Water,2006,8,2074.46037682674,2413.72476554117
JRGCE - Heat x Water x N,2000,2,2393.20797432551,2453.4790931983
JRGCE - Heat x Water x N,2006,8,2109.80041731783,2406.65675744295
Merritt Island,1996,0.624229979466119,1209.32013289157,1335.01911609036
Merritt Island,1998,2.08898015058179,1130.50146446809,1220.06297692
